appid,name,developer,publisher,score_rank,positive,negative,userscore,owners,average_forever,average_2weeks,median_forever,median_2weeks,price,initialprice,discount,ccu
1289800,Prophecy,Prophecy Games,Prophecy Games,,366,55,0,"50,000 .. 100,000",65,0,93,0,0,0,0,0
1020520,Hellink,Ikigai,Ikigai,,47,2,0,"50,000 .. 100,000",0,0,0,0,0,0,0,0
1440050,Объемная История,VRT,VRT,,14,17,0,"50,000 .. 100,000",0,0,0,0,0,0,0,0
576650,Fovos VR,OnSkull Games,OnSkull Games,,74,43,0,"50,000 .. 100,000",76,0,107,0,0,0,0,0
934060,Wish Giver 偿愿人,Kel,0Cube,,181,50,0,"50,000 .. 100,000",0,0,0,0,0,0,0,0
1509590,Fujiwara Bittersweet,MagicBenchVN,MagicBenchVN,,349,50,0,"50,000 .. 100,000",0,0,0,0,0,0,0,0
1463890,Slay the Dragon!,Slay the Dragon!-Team,The Animation Workshop,,407,19,0,"50,000 .. 100,000",0,0,0,0,0,0,0,0
1278360,Clam Man 2: Open Mic,Sideby Interactive,Sideby Interactive,,428,12,0,"50,000 .. 100,000",0,0,0,0,0,0,0,0
758100,E-Startup,Polytale Games,Polytale Games,,78,87,0,"50,000 .. 100,000",28,0,55,0,199,199,0,0
428870,Take the Dream IX,Yai Gameworks,Yai Gameworks,,134,38,0,"50,000 .. 100,000",184,0,184,0,0,0,0,2
404700,Curvatron,Brave Bunny,Brave Bunny,,151,35,0,"50,000 .. 100,000",266,0,264,0,0,0,0,0
1409160,Plasma,"Dry Cactus, Licorice ehf",Dry Licorice,,789,99,0,"50,000 .. 100,000",193,0,242,0,0,0,0,7
1454100,Project Hive,Class of 2019-2020,Campus ADN,,46,16,0,"50,000 .. 100,000",0,0,0,0,0,0,0,0
1514660,Battle Ball,Dad Hat Games,Dad Hat Games,,417,66,0,"50,000 .. 100,000",0,0,0,0,0,0,0,0
469830,Fable Fortune,"Mediatonic, Flaming Fowl Studios",Mediatonic,,376,166,0,"50,000 .. 100,000",209,0,177,0,0,0,0,0
960330,Dark Gnome,upjers,upjers,,65,48,0,"50,000 .. 100,000",0,0,0,0,0,0,0,0
1349380,Fight the Landlord,Fight the landlord Studio,Fight the landlord Studio,,242,118,0,"50,000 .. 100,000",0,0,0,0,0,0,0,0
884090,Idle Dungeons,ChimpLabs,ChimpLabs,,75,161,0,"50,000 .. 100,000",0,0,0,0,0,0,0,0
669630,Hollowed,Project Polish Productions,Project Polish Productions,,126,31,0,"50,000 .. 100,000",70,0,70,0,0,0,0,0
489000,The Infinite Black,Spellbook,www.Spellbook.com,,138,70,0,"50,000 .. 100,000",389,0,442,0,0,0,0,0
574070,Space Wars: Interstellar Empires,Desert Owl Games LLC,ToHeroes Game Studios LLC,,156,82,0,"50,000 .. 100,000",126,0,177,0,0,0,0,3
323630,Ubinota,Rotateam,"Plug In Digital, Dear Villagers",,224,23,0,"50,000 .. 100,000",1,0,3,0,0,0,0,0
852340,King Rabbit - Puzzle,RareSloth,RareSloth,,310,27,0,"50,000 .. 100,000",0,0,0,0,0,0,0,1
618080,Martial Arts Brutality,Cold Beam Games,Cold Beam Games,,600,106,0,"50,000 .. 100,000",171,0,149,0,0,0,0,0
438920,Legends of Callasia,Boomzap Inc,Boomzap Inc,,220,66,0,"50,000 .. 100,000",57,0,57,0,999,999,0,1
1087960,《鬼畜战记：金坷垃传说》,小闲,小闲,,109,12,0,"50,000 .. 100,000",0,0,0,0,0,0,0,2
898010,Ratten Reich - Dance of Kings,MAS,MAS,,25,18,0,"50,000 .. 100,000",0,0,0,0,0,0,0,0
956580,9Dragons : Kung Fu Arena,Joongwon Entertainment,Joongwon Games,,180,94,0,"50,000 .. 100,000",0,0,0,0,0,0,0,0
998340,DragonFang - Drahn's Mystery Dungeon,"Toydea, Degica",Degica,,51,43,0,"50,000 .. 100,000",23,0,23,0,0,0,0,0
1470870,Because its hot! - Why pizza? PROLOGUE,Marginal act,Woo Foo games,,8,0,0,"50,000 .. 100,000",0,0,0,0,0,0,0,0
668770,Solarium,Sunfleck Software,Sunfleck Software,,89,40,0,"50,000 .. 100,000",5426,0,10812,0,0,0,0,0
2334340,Apex Armor Swap Trainer,Soulwarmers Games,Soulwarmers Games,,59,5,0,"50,000 .. 100,000",0,0,0,0,49,99,51,0
1489010,The Picture in The House,Dystopia Game Studio,Dystopia Game Studio,,67,62,0,"50,000 .. 100,000",0,0,0,0,0,0,0,1
359340,Pixel Puzzles Mosaics,Pixel Puzzles,Pixel Puzzles,,101,15,0,"50,000 .. 100,000",206,0,253,0,0,0,0,0
823600,Battle Brawlers,"Suzhou DaYu Network Technology Co., Ltd., 蘇州大禹網絡科技有限公司, 苏州大禹网络科技有限公司","Suzhou DaYu Network Technology Co., Ltd., 蘇州大禹網絡科技有限公司, 苏州大禹网络科技有限公司",,114,81,0,"50,000 .. 100,000",0,0,0,0,0,0,0,2
388370,Nova Blitz,Dragon Foundry,"Dragon Foundry, Hashbang Games",,115,46,0,"50,000 .. 100,000",272,0,319,0,0,0,0,2
